etype,mtype,etype_desc,eventmsgtype_desc,eventmsgactiontype_desc
3,15,free_throw,NA,NA
3,16,free_throw,NA,NA
3,18,free_throw,NA,NA
3,19,free_throw,NA,NA
3,20,free_throw,NA,NA
3,21,free_throw,NA,NA
3,22,free_throw,NA,NA
3,25,free_throw,NA,NA
3,26,free_throw,NA,NA
3,27,free_throw,NA,NA
3,28,free_throw,NA,NA
3,29,free_throw,NA,NA
4,0,rebound,NA,NA
4,1,rebound,NA,NA
5,0,turnover,NA,NA
5,1,turnover,turnover,bad_pass
5,2,turnover,turnover,lost_ball
5,3,turnover,NA,NA
5,4,turnover,turnover,traveling
5,5,turnover,turnover,foul
5,6,turnover,NA,NA
5,7,turnover,turnover,discontinue_dribble
5,8,turnover,turnover,offensive_three_second_violation
5,9,turnover,NA,NA
5,10,turnover,turnover,eight_second_violation
5,11,turnover,turnover,shot_clock
5,12,turnover,turnover,inbound
5,13,turnover,turnover,backcourt
5,15,turnover,turnover,offensive_goaltending
5,17,turnover,turnover,lane_violation
5,18,turnover,turnover,jump_ball_violation
5,19,turnover,turnover,kicked_ball
5,20,turnover,turnover,illegal_assist
5,21,turnover,turnover,palming
5,23,turnover,NA,NA
5,24,turnover,turnover,ten_second_violation
5,33,turnover,turnover,punched_ball
5,34,turnover,turnover,swinging_elbows
5,35,turnover,turnover,basket_from_below
5,36,turnover,turnover,illegal_screen
5,37,turnover,turnover,offensive_foul
5,38,turnover,turnover,five_second_inbound
5,39,turnover,turnover,step_out_of_bounds
5,40,turnover,turnover,out_of_bounds_lost_ball
5,41,turnover,turnover,possession_lost_ball
5,42,turnover,turnover,excess_timeout
5,43,turnover,NA,NA
5,44,turnover,NA,NA
5,45,turnover,turnover,out_of_bounds_bad_pass
6,0,foul,NA,NA
6,1,foul,foul,personal
6,2,foul,foul,shooting
6,3,foul,foul,loose_ball
6,4,foul,foul,offensive
6,5,foul,foul,inbound
6,6,foul,foul,away_from_play
6,8,foul,foul,punch
6,9,foul,foul,clear_path
6,10,foul,foul,double_personal
6,11,foul,foul,technical
6,12,foul,foul,unsportsmanlike_technical
6,13,foul,foul,hanging_technical
6,14,foul,foul,flagrant_one
6,15,foul,foul,flagrant_two
6,16,foul,foul,double_technical
6,17,foul,foul,defensive_three_second
6,18,foul,foul,delay_technical
6,19,foul,NA,NA
6,25,foul,foul,excess_timeout_technical
6,26,foul,foul,offensive_charge
6,27,foul,foul,personal_block
6,28,foul,foul,personal_take
6,29,foul,foul,shooting_block
6,30,foul,foul,too_many_players_technical
6,31,foul,foul,transition_take
6,32,foul,foul,unsportsmanlike_technical_flopping
6,33,foul,foul,unsportsmanlike_technical_bench
7,1,violation,violation,delay_of_game
7,2,violation,violation,defensive_goaltending
7,3,violation,violation,lane_violation
7,4,violation,violation,jump_ball_violation
7,5,violation,violation,kicked_ball
7,6,violation,violation,double_lane
8,0,substitution,NA,NA
9,0,timeout,NA,NA
9,1,timeout,NA,NA
9,2,timeout,NA,NA
9,4,timeout,NA,NA
9,7,timeout,NA,NA
10,0,jumpball,NA,NA
10,1,jumpball,NA,NA
11,0,ejection,NA,NA
11,1,ejection,NA,NA
11,3,ejection,NA,NA
11,4,ejection,NA,NA
12,0,start_period,NA,NA
13,0,end_period,NA,NA
18,0,instant_replay,NA,NA
18,1,instant_replay,NA,NA
18,2,instant_replay,NA,NA
18,3,instant_replay,NA,NA
18,4,instant_replay,NA,NA
18,5,instant_replay,NA,NA
18,6,instant_replay,NA,NA
18,7,instant_replay,NA,NA
20,1,stoppage,NA,NA
20,2,stoppage,NA,NA
20,3,stoppage,NA,NA
20,4,stoppage,NA,NA
20,5,stoppage,NA,NA
20,6,stoppage,NA,NA
